StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q36," ",Q35,Q3_1,Q25_1,Q4_1,Q15_1,Q36_1,Q10_1,Q35_1,Q26_1,Q1 _1,Q30_1,Q20_1,Q9_1,Q11_1,Q21_1,Q8_1,Q31_1,Q29_1,Q5_1,Q33_1,Q7_1,Q12_1,Q27_1,Q13_1,Q6_1,Q34_1,Q28_1,Q14_1,Q32_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"Welcome! Today you will respond to an important survey. We ask you to participate and provide sincere answers. This survey will take 10-15 minutes to complete. In the following questions, you will be facing short videos containing irony and you will be asked to rate the irony of each statement.

If you are ready, let's begin!","By participating in this survey, you agree to provide as honest answers as possible. Any responses you provide will be anonymized, so neither the research team nor additional respondents will know which one is yours.

By 
selecting “I agree”, you agree to the terms described above and confirm that you are at least 18 years of age.",Is your birthday an even number?,human_q1 - Click to write Choice 1,AI_q2 - Click to write Choice 1,human_q3 - Click to write Choice 1,human q4 - Click to write Choice 1,AI filler 1 - Click to write Choice 1,Human q5 - Click to write Choice 1,AI filler 2 - Click to write Choice 1,AI filler 3 - Click to write Choice 1,human q6 - Click to write Choice 1,AI q7 - Click to write Choice 1,AI q8 - Click to write Choice 1,human filler 4 - Click to write Choice 1,human filler 5 - Click to write Choice 1,AI filler 6 - Click to write Choice 1,human q2 - Click to write Choice 1,AI q3 - Click to write Choice 1,AI q4 - Click to write Choice 1,human filler 1 - Click to write Choice 1,AI q5 - Click to write Choice 1,human filler 2 - Click to write Choice 1,human filler 3 - Click to write Choice 1,AI q6 - Click to write Choice 1,human q7 - Click to write Choice 1,human q8 - Click to write Choice 1,AI filler 4 - Click to write Choice 1,AI filler 5 - Click to write Choice 1,human filler 6 - Click to write Choice 1,AI q1 - Click to write Choice 1
"{""ImportId"":""startDate"",""timeZone"":""Asia/Karachi""}","{""ImportId"":""endDate"",""timeZone"":""Asia/Karachi""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Asia/Karachi""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID39""}","{""ImportId"":""QID17""}","{""ImportId"":""QID38""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID32_1""}"
2024-04-04 12:18:38,2024-04-04 12:18:45,1,,100,7,1,2024-04-04 12:18:46,R_2bDOiGhNOtUG6IN,,,,,51.1876,71.4491,preview,EN,0.8999999761581421,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-04 12:20:12,2024-04-04 12:20:17,1,,100,5,1,2024-04-04 12:20:18,R_2agDo9PWb8jpAVg,,,,,51.1876,71.4491,preview,EN,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-04 12:21:13,2024-04-04 12:21:18,1,,100,4,1,2024-04-04 12:21:18,R_2h4P2S9pU6Ky1u0,,,,,51.1876,71.4491,preview,EN,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-04 12:34:09,2024-04-04 12:38:48,0,185.48.148.174,100,279,1,2024-04-04 12:38:49,R_3Bd7kXwnI7OKADL,,,,,51.1876,71.4491,anonymous,EN,0.800000011920929,,1,2,,,,,,,,,,,,,,,1,5,5,4,2,4,1,5,4,3,1,2,1,4
2024-04-04 13:33:21,2024-04-04 13:34:38,0,212.96.80.228,100,77,1,2024-04-04 13:34:39,R_5yabDo0qnEJuncl,,,,,51.1876,71.4491,anonymous,EN,0.8999999761581421,1,1,1,4,3,2,3,4,2,2,4,4,2,3,3,3,2,,,,,,,,,,,,,,
2024-04-04 14:41:04,2024-04-04 14:45:14,0,87.255.216.74,100,249,1,2024-04-04 14:45:15,R_2ZttwNI3rURCoEh,,,,,51.1876,71.4491,anonymous,EN,0.800000011920929,1,1,2,,,,,,,,,,,,,,,1,2,3,4,5,3,5,5,5,2,2,3,2,5
2024-04-05 18:26:27,2024-04-05 18:27:57,0,89.134.13.118,100,89,1,2024-04-05 18:27:58,R_7dm34hfHEeLvxyT,,,,,47.5636,19.0947,anonymous,EN,0.800000011920929,1,1,1,2,2,2,2,3,3,2,3,3,3,2,3,3,3,,,,,,,,,,,,,,
2024-04-05 23:29:01,2024-04-05 23:33:57,0,91.185.10.38,100,296,1,2024-04-05 23:33:57,R_4y8fIipkdzNiMlC,,,,,51.1876,71.4491,anonymous,EN,0.8999999761581421,1,1,2,,,,,,,,,,,,,,,1,3,1,4,1,5,3,2,3,3,2,2,2,4
2024-04-06 00:53:51,2024-04-06 00:55:19,0,176.64.21.108,100,88,1,2024-04-06 00:55:20,R_4Ibby00hrmrMFXG,,,,,43.2433,76.8646,anonymous,EN,0.8999999761581421,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,
2024-04-07 04:15:47,2024-04-07 04:21:53,0,2.133.195.122,100,365,1,2024-04-07 04:21:54,R_2ff3gKFfnTWZgfF,,,,,51.1876,71.4491,anonymous,EN,0.8999999761581421,1,1,1,2,3,4,5,5,1,5,1,1,5,1,1,5,1,,,,,,,,,,,,,,
2024-04-08 17:18:24,2024-04-08 17:22:08,0,91.185.26.183,100,224,1,2024-04-08 17:22:09,R_2CG59e2ma9X0nS1,,,,,51.1876,71.4491,anonymous,EN,0.8999999761581421,1,1,1,5,2,5,3,4,3,3,5,2,1,5,2,2,2,,,,,,,,,,,,,,
2024-04-08 17:17:14,2024-04-08 17:37:40,0,95.82.73.170,100,1226,1,2024-04-08 17:37:41,R_2ibaw1WSg0BCd4N,,,,,51.1876,71.4491,anonymous,EN,1,1,1,2,,,,,,,,,,,,,,,1,4,1,1,3,1,1,1,1,2,1,1,1,2
2024-04-08 20:06:00,2024-04-08 20:09:41,0,185.48.148.175,100,220,1,2024-04-08 20:09:42,R_2dEZjffAuVnoRHv,,,,,51.1876,71.4491,anonymous,EN,1,1,1,1,1,5,5,5,5,5,1,1,5,5,5,2,5,3,,,,,,,,,,,,,,
