Response ID,Question ID,Answer,is_AI
3,Is your birthday an even number?,2,0
4,Is your birthday an even number?,1,0
5,Is your birthday an even number?,1,0
6,Is your birthday an even number?,2,0
7,Is your birthday an even number?,1,0
8,Is your birthday an even number?,2,0
9,Is your birthday an even number?,1,0
10,Is your birthday an even number?,2,0
11,Is your birthday an even number?,1,0
12,Is your birthday an even number?,1,0
13,Is your birthday an even number?,1,0
14,Is your birthday an even number?,2,0
15,Is your birthday an even number?,1,0
16,Is your birthday an even number?,1,0
17,Is your birthday an even number?,1,0
18,Is your birthday an even number?,2,0
19,Is your birthday an even number?,2,0
20,Is your birthday an even number?,1,0
21,Is your birthday an even number?,2,0
22,Is your birthday an even number?,1,0
23,Is your birthday an even number?,1,0
24,Is your birthday an even number?,1,0
25,Is your birthday an even number?,1,0
26,Is your birthday an even number?,1,0
27,Is your birthday an even number?,2,0
28,Is your birthday an even number?,2,0
29,Is your birthday an even number?,1,0
30,Is your birthday an even number?,2,0
31,Is your birthday an even number?,2,0
32,Is your birthday an even number?,2,0
33,Is your birthday an even number?,2,0
34,Is your birthday an even number?,2,0
35,Is your birthday an even number?,1,0
36,Is your birthday an even number?,2,0
37,Is your birthday an even number?,1,0
38,Is your birthday an even number?,2,0
39,human_q1 - Click to write Choice 1,4,0
7,human_q1 - Click to write Choice 1,4,0
9,human_q1 - Click to write Choice 1,2,0
11,human_q1 - Click to write Choice 1,5,0
12,human_q1 - Click to write Choice 1,2,0
13,human_q1 - Click to write Choice 1,5,0
15,human_q1 - Click to write Choice 1,1,0
16,human_q1 - Click to write Choice 1,4,0
17,human_q1 - Click to write Choice 1,5,0
20,human_q1 - Click to write Choice 1,3,0
22,human_q1 - Click to write Choice 1,4,0
23,human_q1 - Click to write Choice 1,5,0
24,human_q1 - Click to write Choice 1,5,0
25,human_q1 - Click to write Choice 1,1,0
26,human_q1 - Click to write Choice 1,4,0
29,human_q1 - Click to write Choice 1,4,0
35,human_q1 - Click to write Choice 1,1,0
37,human_q1 - Click to write Choice 1,3,0
7,AI_q2 - Click to write Choice 1,3,1
9,AI_q2 - Click to write Choice 1,2,1
11,AI_q2 - Click to write Choice 1,5,1
12,AI_q2 - Click to write Choice 1,3,1
13,AI_q2 - Click to write Choice 1,2,1
15,AI_q2 - Click to write Choice 1,5,1
16,AI_q2 - Click to write Choice 1,4,1
17,AI_q2 - Click to write Choice 1,4,1
20,AI_q2 - Click to write Choice 1,5,1
22,AI_q2 - Click to write Choice 1,4,1
23,AI_q2 - Click to write Choice 1,5,1
24,AI_q2 - Click to write Choice 1,5,1
25,AI_q2 - Click to write Choice 1,2,1
26,AI_q2 - Click to write Choice 1,5,1
29,AI_q2 - Click to write Choice 1,4,1
35,AI_q2 - Click to write Choice 1,5,1
37,AI_q2 - Click to write Choice 1,4,1
39,human_q3 - Click to write Choice 1,5,0
7,human_q3 - Click to write Choice 1,2,0
9,human_q3 - Click to write Choice 1,2,0
11,human_q3 - Click to write Choice 1,5,0
12,human_q3 - Click to write Choice 1,4,0
13,human_q3 - Click to write Choice 1,5,0
15,human_q3 - Click to write Choice 1,5,0
16,human_q3 - Click to write Choice 1,5,0
17,human_q3 - Click to write Choice 1,4,0
20,human_q3 - Click to write Choice 1,4,0
22,human_q3 - Click to write Choice 1,5,0
23,human_q3 - Click to write Choice 1,5,0
24,human_q3 - Click to write Choice 1,5,0
